"ProductReference","CompanyID","CompanyName","CompanyTypeID","CompanyType","Sequence","Address1","Address2","Address3","CityName","StateName","Zip","CountryName","Phone1","Phone2","Fax1","Fax2","MainEmail","WebAddress"
21,86691,"Falcon Point Capital LLC",1,"Management Firm",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
21,86691,"Falcon Point Capital LLC",2,"Investment Advisor",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
29,10,"N/A",11,"Underwriter/Sponsor",1,"","","","None","None","","None","","","","","",""
29,46882,"MJG Associates Inc & Mario J Gabelli",1,"Management Firm",1,"","","","None","None","","None","","","","","",""
29,46882,"MJG Associates Inc & Mario J Gabelli",2,"Investment Advisor",1,"","","","None","None","","None","","","","","",""
35,3290,"Green & Smith Investment Management LLC",1,"Management Firm",1,"100 Summit Lake Drive","","","Valhalla","New York","10595","United States","","","","","",""
35,3290,"Green & Smith Investment Management LLC",11,"Underwriter/Sponsor",1,"100 Summit Lake Drive","","","Valhalla","New York","10595","United States","","","","","",""
61,6311,"SC Fundamental LLC",11,"Underwriter/Sponsor",1,"747 Third Avenue","27th Floor","","New York","New York","10017","United States","+1 212 888 9100","","+1 212 813 3420","","","www.scfundamental.com"
61,82964,"SC Fund Management LLC",1,"Management Firm",1,"747 Third Avenue","27th Floor","","New York","New York","10017","United States","+ 212 888 9100","","+ 212 813 3420","","neilk@scfundamental.com",""
61,82964,"SC Fund Management LLC",2,"Investment Advisor",1,"747 Third Avenue","27th Floor","","New York","New York","10017","United States","+ 212 888 9100","","+ 212 813 3420","","neilk@scfundamental.com",""
438,6716,"Sloane Robinson Investment Management Ltd",11,"Underwriter/Sponsor",1,"Den Norske Bank Building","20 St Dunstan's Hill","","London","None","EC3R 8ND","United Kingdom","+44 20 7929 2771","+44 20 7929 8810","+44 20 7929 3057","","","www.sloanerobinson.com"
438,78968,"Sloane Robinson LLP",1,"Management Firm",1,"Dalton Investments","12424 Wilshire Boulevard","","Los Angeles","California","90025","United States","+1 310 622 8445","","+44 20 7929 3057","","info@sloanerobinson.com","www.sloanerobinson.com"
438,78968,"Sloane Robinson LLP",2,"Investment Advisor",1,"Dalton Investments","12424 Wilshire Boulevard","","Los Angeles","California","90025","United States","+1 310 622 8445","","+44 20 7929 3057","","info@sloanerobinson.com","www.sloanerobinson.com"
441,81582,"Summit Private Investments, Inc",1,"Management Firm",1,"47 Maple Street","Suite 301","","Summit","New Jersey","07901","United States","+1 908 522 1414","","+1 908 522 1447","","dhunchar@karpassociates.com","http://www.spifunds.com/"
442,22008,"III Capital Management",1,"Management Firm",1,"777 Yamato Road","Suite 300","","Boca Raton","Florida","33431","United States","+1 561 544 4600","","","+1 340 719 8804","Rob.printz@avmltd.com","www.iiicm.com"
727,75000,"Grant Thornton LLP (New York)",11,"Underwriter/Sponsor",1,"60 Broad Street","24th floor","","New York","New York","1004","United States","+1 212 422 1000","","+1 212 422 0144","","","www.grantthornton.com/"
727,82398,"Permal Investment Management Services Limited",1,"Management Firm",1,"12 St. James's Square","","","London","None","SW 1Y 4LB","United Kingdom","+44 207 389 1300","","+44 207 389 1344","","","http://www.permal.com/"
727,82399,"Permal Asset Management Inc",2,"Investment Advisor",1,"900 Third Avenue","","","New York","New York","10022","United States","+1 212 418 6500","","+1 212 418 6543","","",""
814,7014,"Cannell Capital Management",1,"Management Firm",1,"240 E. Deloney Ave.","","","Jackson","Wyoming","83001","United States","+1 307 733  2284","","","","rvd@cannellcap.com","www.cannellcapital.com"
814,7014,"Cannell Capital Management",2,"Investment Advisor",1,"240 E. Deloney Ave.","","","Jackson","Wyoming","83001","United States","+1 307 733  2284","","","","rvd@cannellcap.com","www.cannellcapital.com"
814,88281,"Global Trading Strategies Investment Management Pty Ltd",1,"Management Firm",2,"Level 21, Governor Phillip Tower,","1 Farrer Place","","Sydney","None","NSW 2000","Australia","+61 2 8020 0200","","+612 9252 2880","","katey.ramage@gtsinvest.com","www.gtsinvest.com"
818,90247,"SDM Investment Funds Ltd",1,"Management Firm",1,"Trust House","112 Bonadie St.","","Kingstown","","","Saint Vincent And The Grenadines","+1 784 457 1145","","+1 784 457 1691","","",""
818,90247,"SDM Investment Funds Ltd",2,"Investment Advisor",1,"Trust House","112 Bonadie St.","","Kingstown","","","Saint Vincent And The Grenadines","+1 784 457 1145","","+1 784 457 1691","","",""
909,3268,"HK LLC",1,"Management Firm",1,"410 West Putnam Avenue","Suite 320","","Greenwich","Connecticut","06830","United States","","","","","",""
909,3268,"HK LLC",11,"Underwriter/Sponsor",1,"410 West Putnam Avenue","Suite 320","","Greenwich","Connecticut","06830","United States","","","","","",""
909,90138,"South Ocean Management Limited",2,"Investment Advisor",1,"G.P.O. Box 1191","","","Central","","","Hong Kong","+85 2 2521 0332","","+85 2 2530 2546","","","www.south-ocean.com"
944,28858,"Sandalwood Securities Inc (USA)",1,"Management Firm",1,"101 Eisenhower Parkway, 3rd Floor","","","Roseland","New Jersey","07068","United States","+1 973 233 8800","","+1 973 233 8801","","investorrelations@sandalwoodsecurities.com","www.sandalwoodsecurities.com"
944,28858,"Sandalwood Securities Inc (USA)",2,"Investment Advisor",1,"101 Eisenhower Parkway, 3rd Floor","","","Roseland","New Jersey","07068","United States","+1 973 233 8800","","+1 973 233 8801","","investorrelations@sandalwoodsecurities.com","www.sandalwoodsecurities.com"
945,10,"N/A",2,"Investment Advisor",1,"","","","None","None","","None","","","","","",""
945,28858,"Sandalwood Securities Inc (USA)",1,"Management Firm",1,"101 Eisenhower Parkway, 3rd Floor","","","Roseland","New Jersey","07068","United States","+1 973 233 8800","","+1 973 233 8801","","investorrelations@sandalwoodsecurities.com","www.sandalwoodsecurities.com"
945,28858,"Sandalwood Securities Inc (USA)",11,"Underwriter/Sponsor",1,"101 Eisenhower Parkway, 3rd Floor","","","Roseland","New Jersey","07068","United States","+1 973 233 8800","","+1 973 233 8801","","investorrelations@sandalwoodsecurities.com","www.sandalwoodsecurities.com"
1067,30211,"Arrowsmith LLC",1,"Management Firm",1,"Arrowsmith, LLC","900 Third Avenue","18th Floor","New York","New York","10022","United States","+1 212 418 6515","","+1 212 309 8551","","","www.arrowsmith.com.bs"
1067,30211,"Arrowsmith LLC",2,"Investment Advisor",1,"Arrowsmith, LLC","900 Third Avenue","18th Floor","New York","New York","10022","United States","+1 212 418 6515","","+1 212 309 8551","","","www.arrowsmith.com.bs"
1176,6346,"Custom House Administration & Corporate Services Ltd",11,"Underwriter/Sponsor",1,"","","","None","None","","None","","","","","",""
1176,29769,"Investors Money Management Corporation SA",1,"Management Firm",1,"25 Eden Quay","","","Dublin 1","None","","Ireland","","","+353 1 475 2466/7","","","www.customhousegroup.com"
1265,6716,"Sloane Robinson Investment Management Ltd",11,"Underwriter/Sponsor",1,"Den Norske Bank Building","20 St Dunstan's Hill","","London","None","EC3R 8ND","United Kingdom","+44 20 7929 2771","+44 20 7929 8810","+44 20 7929 3057","","","www.sloanerobinson.com"
1265,78968,"Sloane Robinson LLP",1,"Management Firm",1,"Dalton Investments","12424 Wilshire Boulevard","","Los Angeles","California","90025","United States","+1 310 622 8445","","+44 20 7929 3057","","info@sloanerobinson.com","www.sloanerobinson.com"
1265,78968,"Sloane Robinson LLP",2,"Investment Advisor",1,"Dalton Investments","12424 Wilshire Boulevard","","Los Angeles","California","90025","United States","+1 310 622 8445","","+44 20 7929 3057","","info@sloanerobinson.com","www.sloanerobinson.com"
1267,32945,"Cypress Funds LLC",1,"Management Firm",1,"865 South Figueroa Street","Suite 700","","Los Angeles","California","90017","United States","+ 1 213 891 6375","","+ 1 213 891 6343","","","http://thecypressfunds.com/"
1293,7231,"Twin Securities Inc",11,"Underwriter/Sponsor",1,"","","","None","None","","None","","","","","",""
1293,11419,"Twin Capital Management",1,"Management Firm",1,"3244 Washington Road","Suite 202","","Mcmurray","Pennsylvania","15317","United States","+1 724 942 2000","","+1 212 687 6901","","","www.twincapital.com"
1293,11419,"Twin Capital Management",2,"Investment Advisor",1,"3244 Washington Road","Suite 202","","Mcmurray","Pennsylvania","15317","United States","+1 724 942 2000","","+1 212 687 6901","","","www.twincapital.com"
1293,11419,"Twin Capital Management",11,"Underwriter/Sponsor",2,"3244 Washington Road","Suite 202","","Mcmurray","Pennsylvania","15317","United States","+1 724 942 2000","","+1 212 687 6901","","","www.twincapital.com"
1363,873,"Blue Rock Advisors Inc",1,"Management Firm",1,"80 South Eighth Street #4410","","","Minneapolis","Minnesota","55402","United States","+1 612 337 8000 Ext","","+1 612 337 8002","","","www.blue-rock.com"
1363,873,"Blue Rock Advisors Inc",2,"Investment Advisor",1,"80 South Eighth Street #4410","","","Minneapolis","Minnesota","55402","United States","+1 612 337 8000 Ext","","+1 612 337 8002","","","www.blue-rock.com"
1451,7647,"Yankee Advisers LLC",1,"Management Firm",1,"404 Wyman Street","Suite 365","","Waltham","Massachusetts","02451","United States","+1 781 895 9994","","+1 781 895 4944","","research@yankeeadvisers.com","www.yankeeadvisers.com"
1451,7647,"Yankee Advisers LLC",2,"Investment Advisor",1,"404 Wyman Street","Suite 365","","Waltham","Massachusetts","02451","United States","+1 781 895 9994","","+1 781 895 4944","","research@yankeeadvisers.com","www.yankeeadvisers.com"
1451,7647,"Yankee Advisers LLC",11,"Underwriter/Sponsor",1,"404 Wyman Street","Suite 365","","Waltham","Massachusetts","02451","United States","+1 781 895 9994","","+1 781 895 4944","","research@yankeeadvisers.com","www.yankeeadvisers.com"
1471,6446,"Sierra Global Associates LLC",11,"Underwriter/Sponsor",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1471,6462,"Sierra Global Management LLC",1,"Management Firm",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1471,6462,"Sierra Global Management LLC",2,"Investment Advisor",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1513,34024,"P & A Capital Advisors Inc",1,"Management Firm",1,"500 Fifth Avenue","Suite 2700","","New York","New York","10110","United States","+1 212 764 6455","","+1 212 921 4249","","","www.pacapadvisors.com"
1513,34024,"P & A Capital Advisors Inc",2,"Investment Advisor",1,"500 Fifth Avenue","Suite 2700","","New York","New York","10110","United States","+1 212 764 6455","","+1 212 921 4249","","","www.pacapadvisors.com"
1513,34024,"P & A Capital Advisors Inc",11,"Underwriter/Sponsor",1,"500 Fifth Avenue","Suite 2700","","New York","New York","10110","United States","+1 212 764 6455","","+1 212 921 4249","","","www.pacapadvisors.com"
1540,82764,"GAM Fund Management Limited",1,"Management Firm",1,"George's Court","54-62 Townsend Street","","Dublin 2","None","","Ireland","+353 1 609 3927","","+353 1 611 7941","","info@gam.com","www.gam.com"
1617,6462,"Sierra Global Management LLC",1,"Management Firm",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1617,6462,"Sierra Global Management LLC",2,"Investment Advisor",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1617,6462,"Sierra Global Management LLC",11,"Underwriter/Sponsor",1,"126 East 56th Street","18th Floor","","New York","New York","10022","United States","+1 212 207 3235","","+1 212 486 5307","","","www.sierraglobal.com"
1681,35527,"Treasury Management Services Inc",1,"Management Firm",1,"9575 Katy Freeway","Suite 360","","Houston","Texas","77024","United States","+1 713 467 2300","","+1 713 467 2338","","admin@tmstrade.com","www.tmstrade.com"
1681,35527,"Treasury Management Services Inc",2,"Investment Advisor",1,"9575 Katy Freeway","Suite 360","","Houston","Texas","77024","United States","+1 713 467 2300","","+1 713 467 2338","","admin@tmstrade.com","www.tmstrade.com"
1681,35527,"Treasury Management Services Inc",11,"Underwriter/Sponsor",1,"9575 Katy Freeway","Suite 360","","Houston","Texas","77024","United States","+1 713 467 2300","","+1 713 467 2338","","admin@tmstrade.com","www.tmstrade.com"
1688,5251,"Odey Asset Management LLP",1,"Management Firm",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
1688,5251,"Odey Asset Management LLP",2,"Investment Advisor",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
1688,5251,"Odey Asset Management LLP",11,"Underwriter/Sponsor",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
1773,74882,"HSBC (Hong Kong)",1,"Management Firm",1,"GPO Box 64,","1 Queen's Road Central,","","Kowloon","None","","Hong Kong","+852 2 822 1111","","+852 2 810 1112","","","www.hsbc.com.hk"
1773,74882,"HSBC (Hong Kong)",11,"Underwriter/Sponsor",1,"GPO Box 64,","1 Queen's Road Central,","","Kowloon","None","","Hong Kong","+852 2 822 1111","","+852 2 810 1112","","","www.hsbc.com.hk"
1773,75917,"HSBC Alternative Investment Limited",2,"Investment Advisor",1,"78 St James's Street","","","London","None","SW1A 1EJ","United Kingdom","+44 20 7024 0592","","+44 20 7549 7553","","","http://www.hsbcril.com/Home/tabid/36/Default.aspx"
1775,80569,"HSBC Management (Guernsey) Limited",1,"Management Firm",1,"Arnold House, St Julian?s Avenue","","","St Peters Port","None","GY1 3NF","Guernsey","+44 1 481 709581","","+44 1 481 700031","","paulwrench@hsbc.com","www.hsbc.com"
1831,34024,"P & A Capital Advisors Inc",1,"Management Firm",1,"500 Fifth Avenue","Suite 2700","","New York","New York","10110","United States","+1 212 764 6455","","+1 212 921 4249","","","www.pacapadvisors.com"
1831,34024,"P & A Capital Advisors Inc",11,"Underwriter/Sponsor",1,"500 Fifth Avenue","Suite 2700","","New York","New York","10110","United States","+1 212 764 6455","","+1 212 921 4249","","","www.pacapadvisors.com"
1855,83459,"Adelphi Capital LLP",1,"Management Firm",1,"2 George Yard","","","London","None","EC3V 9DH","United Kingdom","","","","","",""
1855,83459,"Adelphi Capital LLP",2,"Investment Advisor",1,"2 George Yard","","","London","None","EC3V 9DH","United Kingdom","","","","","",""
1875,10,"N/A",3,"Sub Advisor",1,"","","","None","None","","None","","","","","",""
1875,82109,"Marshall Wace LLP",1,"Management Firm",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
1875,82109,"Marshall Wace LLP",2,"Investment Advisor",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
1875,82109,"Marshall Wace LLP",11,"Underwriter/Sponsor",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
1930,10,"N/A",11,"Underwriter/Sponsor",1,"","","","None","None","","None","","","","","",""
1930,37657,"Firebird Management LLC",1,"Management Firm",1,"152 West 57th St","24th Floor","","New York","New York","10019","United States","+1 212 698 9260","","+1 212 698 9266","","","www.fbird.com"
1930,37657,"Firebird Management LLC",2,"Investment Advisor",1,"152 West 57th St","24th Floor","","New York","New York","10019","United States","+1 212 698 9260","","+1 212 698 9266","","","www.fbird.com"
1932,37681,"Quest Management Inc (Thailand)",1,"Management Firm",1,"888/123 Mahatun Plaza, 12/F","Ploenchit Road","Lumpini, Phathumwan","Bangkok","None","10330","Thailand","+66 2 255 2040","","+66 2 255 3050","","","www.questthai.com"
1932,37681,"Quest Management Inc (Thailand)",2,"Investment Advisor",1,"888/123 Mahatun Plaza, 12/F","Ploenchit Road","Lumpini, Phathumwan","Bangkok","None","10330","Thailand","+66 2 255 2040","","+66 2 255 3050","","","www.questthai.com"
1932,37681,"Quest Management Inc (Thailand)",11,"Underwriter/Sponsor",1,"888/123 Mahatun Plaza, 12/F","Ploenchit Road","Lumpini, Phathumwan","Bangkok","None","10330","Thailand","+66 2 255 2040","","+66 2 255 3050","","","www.questthai.com"
1966,79438,"Fundana SA",2,"Investment Advisor",1,"Rue de la Cité 3","Case postale 5105","","Geneva","None","CH - 1211","Switzerland","+41 22 312 5050","","+41 22 312 5040","","","www.fundana.ch"
1966,83439,"Trocadero Asset Management Ltd",1,"Management Firm",1,"Mill Mall, Road Town","","","Tortola","None","","Virgin Islands (British)","","","","","","http://www.trocaderofunds.com/trocadero/"
