"ProductReference","Name","PrimaryCategory","CurrencyCode","CurrencyDescription","LegalStructure","ClosedToInvestDate","ReopenToInvestDate","InceptionDate","PerformanceStartDate","PerformanceEndDate","GrossNett","InitialNAV","InitialSharePrice","Guaranteed","NavROR","MinimumInvestment","ManagementFee","IncentiveFee","ManagementFeePayablePeriod","HighWaterMark","ShareEqualisationMethod","Leveraged","MaxLeverage","AvgLeverage","Futures","Derivatives","Margin","FXCredit","PersonalCapital","PersonalCapitalAmount","CurrencyExposure","OpenEnded","OpenToPublic","InvestsInManagedAccounts","InvestsInOtherFunds","AcceptsManagedAccounts","ManagedAccountsMinAmount","TrackingFrequency","SubscriptionFrequency","RedemptionFrequency","RedemptionNoticePeriod","LockUpPeriod","LockUpComment","PayOutPeriod","PayOutComment","AuditDate","RegisteredInvestmentAdviser","DomicileState","DomicileCountry"
21,"Falcon Point Long/Short Fund LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,1990-01-01 00:00:00,2017-09-25 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",250000,,,"Monthly",0,0,1,0,0,0,0,0,0,1,250000,0,0,1,0,0,1,3000000,"Monthly","Monthly","Quarterly",30,12,"",0,"No Payout Period",2018-12-31 00:00:00,1,"California","United States"
29,"Gabelli International Ltd","Long/Short Equity Hedge","USD","US Dollar","Limited Corporation",,,1989-01-02 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1,20,"Not Defined",0,0,1,50,10,0,1,1,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,24,"No Lockup Period",0,"No Payout Comment",2018-12-31 00:00:00,0,"None","Cayman Islands"
35,"WCM Hudson Valley Partners LP","Event Driven","USD","US Dollar","Limited Partnership",,,1988-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",500000,1,20,"Quarterly",1,0,1,200,140,0,1,1,0,1,0,0,1,0,0,0,0,0,"Monthly","Monthly","Quarterly",30,12,"",15,"see notes",2018-12-31 00:00:00,0,"Delaware","United States"
61,"SC Fundamental Value LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",2003-03-15 00:00:00,,1990-06-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",250000,1.5,20,"Quarterly",0,0,1,150,125,0,0,1,0,1,24500000,0,0,0,0,0,0,0,"Monthly","Monthly","Quarterly",45,0,"",0,"90%; 10% After Annual Audit",2018-12-31 00:00:00,0,"Delaware","United States"
204,"Optima Fund Limited","Fund of Funds","USD","US Dollar","OEIC",,,1989-01-02 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",500000,1.5,10,,0,0,1,0,0,1,1,1,0,0,,0,1,0,0,1,0,0,"Monthly","Quarterly","Quarterly",60,0,"Lockup undisclosed",,"Payout undisclosed",2018-12-31 00:00:00,0,"None","Bermuda"
326,"Magnum Multi Fund","Fund of Funds","USD","US Dollar","OEIC",,,1994-04-01 00:00:00,2018-08-21 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,0,"Not Defined",0,0,1,25,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",15,0,"No lockup",,"95% of the redemption proceeds will be paid within ten (10) days of calculation of the Net Asset Value being declared final by the Board of Directors. The remaining 5% will be paid 30 days thereafter.",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
329,"Magnum Fund Ltd","Fund of Funds","USD","US Dollar","OEIC",,,1994-04-01 00:00:00,2018-08-21 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,0.5,,"Monthly",0,1,1,10,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",45,0,"No Lockup period.",,"90% of the Redemption Price will be paid within 10 days after the calculation of the Redemption Price, with the remaining 10% being distributed 30 days later.",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
438,"SR Global Fund Inc C-International Portfolio","Long/Short Equity Hedge","USD","US Dollar","KY - Collective Invt Scheme",,,1994-01-21 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1,15,"Monthly",1,0,0,35,0,1,1,1,0,1,,0,1,1,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No Lockup Period",10,"Payout Period is 10 days",2018-12-31 00:00:00,0,"None","Cayman Islands"
441,"Summit Private Investments I LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1991-01-01 00:00:00,2018-12-07 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",500000,1,10,"Quarterly",1,0,1,15,10,0,0,1,0,0,0,0,1,0,0,1,1,50000000,"Monthly","Monthly","Quarterly",75,0,"no lock up",0,"no pay out",2018-12-31 00:00:00,1,"Delaware","United States"
442,"III Fund Ltd Series 1","Fixed Income Arbitrage","USD","US Dollar","Exempted Limited Liability Co",,,1993-07-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1.5,25,"Monthly",1,0,1,2000,1200,1,1,1,0,0,,0,1,0,0,0,0,0,"Monthly","Monthly","Quarterly",30,0,"No lockup.",30,"",2018-12-31 00:00:00,0,"None","Cayman Islands"
727,"EntrustPermal Macro Holdings Ltd A USD","Fund of Funds","USD","US Dollar","Open Ended Investment Scheme",,,1995-12-29 00:00:00,2009-02-24 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,2,0,"Monthly",0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",20,0,"no lockup period",0,"no mention",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
799,"Optima Discretionary Macro Fund Limited","Fund of Funds","USD","US Dollar","Limited Liability Company",,,1991-07-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",250000,1.5,,"Monthly",0,0,1,0,0,1,1,1,1,1,,0,1,0,0,1,0,0,"Monthly","Monthly","Quarterly",63,0,"No Lockup",30,"",2018-12-31 00:00:00,0,"None","Bermuda"
814,"Tonga Partners LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",2002-01-01 00:00:00,2009-09-01 00:00:00,1992-07-01 00:00:00,2017-09-26 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,1.5,20,"Quarterly",1,0,1,140,140,0,0,1,0,1,70000000,0,1,1,0,0,1,5000000,"Monthly","Monthly","Semi-Annually",65,12,"nil",0,"No payout period.",2018-12-31 00:00:00,0,"Delaware","United States"
818,"Global Megatrend Energy Fund","Convertible Arbitrage","USD","US Dollar","Limited Liability Company",,,1995-02-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",10000,1.25,10,"Quarterly",1,0,1,0,0,0,0,1,0,1,,0,1,0,0,0,1,100000,"Monthly","Monthly","Monthly",30,0,"Up to 3% will be charged if redeems within the first year.",10,"Normally will be made within 10 business days after the redemption day",2018-12-31 00:00:00,0,"None","Saint Vincent And The Grenadines"
909,"Hong Kong Partners LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,1994-01-31 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",150000,1.5,15,"Quarterly",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",0,0,"No Lockup Period",0,"No Payout Period",2018-12-31 00:00:00,0,"None","United States"
944,"Bodleian Partners A LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1994-04-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,1.5,0,"Not Defined",1,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,"Monthly","Monthly","Annual",95,0,"Annual Year-End Redemption",30,"The distribution payable upon withdrawal will be paid as promptly as practicable following the end of the fiscal year (usually within 30 days), but in all cases  within 90 days of the end of the fiscal year.",2018-12-31 00:00:00,1,"New Jersey","United States"
945,"Oxbridge Partners LP - Series A","Fund of Funds","USD","US Dollar","Limited Partnership",,,1992-10-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,1.5,0,"Annual",0,0,1,0,0,0,0,0,0,1,30,0,1,0,0,1,0,0,"Monthly","Monthly","Annual",60,0,"No Lockup",0,"No payout.",2018-12-31 00:00:00,0,"Delaware","United States"
1025,"Power Capital Ltd Navigator","Fund of Funds","USD","US Dollar","OEIC",,,1995-04-03 00:00:00,2018-01-07 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",5000,0.75,10,"Not Defined",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"Monthly","Monthly","Monthly",14,0,"",0,"",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1067,"Arrowsmith Fund Limited A USD","Event Driven","USD","US Dollar","OEIC",2005-10-01 00:00:00,,1989-07-13 00:00:00,2009-01-13 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1,15,"Monthly",0,0,1,125,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",45,0,"No Lock-up",30,"",2019-06-30 00:00:00,0,"None","Virgin Islands (British)"
